CatalogueNumber,Institution,Long,Lat,Country,Region,Island,GeneralLocality,SpecificLocality,InitialSpeciesID,Sex,SVL,TL,ED,OD,HW,HD,HL,HdL,FbL,FtL,HbL,MidSR,VerSC,PoPV,UpPV,SL,IL,SlF3,SlT4,NS,FnsH,SnsH,FnsW,SnsW,CS
336053,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,f,75.89,261,2.28,6.09,9.97,8.99,20.63,14.32,37.48,26.09,61.11,48,38,7,1,12,13,29,35,11,0.5,0.5,0.5,0.5,5
336047,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,m,79.71,290,2.27,6.99,11.23,10.06,22.36,15.28,40.63,27.88,65.56,56,38,7,1,9,11,30,32,11,0.5,0.5,0.5,0.5,7
336051,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,m,79.96,290,2.02,6.82,11.04,9.81,22.83,15.89,42.53,31.19,70.92,50,38,7,1,9,12,30,35,9,1,0.5,0.5,0.5,6
327283,KU,120.958889,13.4875,Philippines,Mindoro,Mindoro,Municipality of Puerto Galera,"Barangay San Teodoro, Tamaraw Falls",Bronchocela cristatella,m,81.46,289,2.83,7.43,13.31,11.25,25.17,14.11,38.44,27.13,65.19,48,33,6,1,8,10,27,31,9,1,1,1,0.5,6
303771,KU,121.4141,12.7354333,Philippines,Mindoro,Mindoro,Municipality of Bongabong,Barangay Carmundo,Bronchocela cristatella,f,82.11,300,2.25,6.61,11.63,10.02,23.01,16.19,43.94,28.97,67.43,46,35,6,1,9,11,30,33,9,0.5,0.5,0.5,0.5,8
336056,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,m,83.53,296,2.83,6.62,13.03,11.4,23.86,15.79,40.29,29.3,67.51,47,34,7,1,10,11,28,34,10,1.5,1.5,1,1,7
302489,KU,121.21475,13.1562333,Philippines,Mindoro,Mindoro,Municipality of Victoria,Barangay Loyal,Bronchocela cristatella,f,83.54,290,2.95,6.95,11.16,10.09,23.41,15.01,42.4,28.21,65.54,55,43,7,1,9,10,27,32,9,1,1,0.5,0.5,6
336048,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,f,84.38,295,2.43,6.9,11.9,10.48,24.48,15.09,41.92,29.48,68.25,50,35,7,1,8,10,29,32,9,1,1,0.5,0.5,7
305870,KU,120.8995833,12.81905556,Philippines,Mindoro,Mindoro,Municipality of Sablayan,Barangay Batong Buhay,Bronchocela cristatella,m,85.04,313,2.17,7.13,12.13,10.16,25.18,16.07,42.55,29.67,68.93,48,39,7,1,8,10,31,36,11,2,2,1,1,6
336046,KU,120.916111,12.7877778,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Sitio Aruyan",Bronchocela cristatella,m,85.09,307,2.61,7.09,12.14,11.02,25.88,16.48,45.71,31.87,76.19,49,35,7,1,11,13,29,32,11,0.5,1,0.5,0.5,7
302488,KU,121.382383,12.96505,Philippines,Mindoro,Mindoro,Municipality of Gloria,Barangay Malamig,Bronchocela cristatella,m,85.29,230,2.88,7.81,12.84,10.91,25.63,14.95,41.48,29.59,70.73,57,40,7,1,10,13,31,38,13,1.5,1.5,1,1,6
336054,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,f,85.38,339,2.94,6.92,11.91,10.52,24.36,16.18,43.1,29.89,69.36,52,44,6,1,11,12,30,34,12,1,0.5,0.5,0.5,8
302487,KU,121.4141,12.7354333,Philippines,Mindoro,Mindoro, Municipality of Bongabong,Barangay Carmundo,Bronchocela cristatella,m,85.83,302,2.71,7.36,12.79,11.04,26.41,16,43.87,29.55,71.3,50,39,7,1,9,9,26,32,8,1,1,1,1,7
